"FundCode"	"Date"	"CCYExposure"
"4449"	"FOUNDGSBO"	2014-10-31	0.527499492979844
"4450"	"FOUNDUKALPHA"	2014-10-31	0.00175137077168779
"4451"	"FOUNDUKEQ"	2014-10-31	0.00140532903153846
"4452"	"FRGBF"	2014-10-31	0.527092978197526
"4453"	"GEAR"	2014-10-31	0.00697157495149427
"4454"	"GEFO"	2014-10-31	0.908383127387965
"4455"	"GSAF"	2014-10-31	0.0304179056843605
"4456"	"GSAFLF"	2014-10-31	0.0294323811683732
"4457"	"GSBO"	2014-10-31	0.519018549095052
"4458"	"HBOS"	2014-10-31	1.00193064891225
"4459"	"JSFO"	2014-10-31	0.998691250951414
"4460"	"MIHYB"	2014-10-31	0.0192761552121081
"4461"	"NAEO"	2014-10-31	0.988117389648907
"4462"	"OMDUS"	2014-10-31	0.000609102532421971
"4463"	"OMGB"	2014-10-31	0.0924091728391537
"4464"	"OMTSY"	2014-10-31	0
"4465"	"OMUKALPHA"	2014-10-31	0.000617836536279704
"4466"	"SFSYPT"	2014-10-31	0.998276171404564
"4467"	"SKAN"	2014-10-31	2.37055456164504e-08
"4468"	"SKASIANEQ"	2014-10-31	0.990177929209907
"4469"	"SKDIV"	2014-10-31	0.0551574725819462
"4470"	"SKEUREQ"	2014-10-31	0.46715479051022
"4471"	"SKGBLBND"	2014-10-31	0.452991137188521
"4472"	"SKGEN34"	2014-10-31	0.0497658814901743
"4473"	"SKGEN36"	2014-10-31	0.0561622767560946
"4474"	"SKGEN44"	2014-10-31	0.048097113629448
"4475"	"SKGEN46"	2014-10-31	0.0482009438208731
"4476"	"SKGEQ"	2014-10-31	0.432779664508458
"4477"	"SKINTDIV"	2014-10-31	0.293322325052551
"4478"	"SKINTGRW"	2014-10-31	0.250071142040188
"4479"	"SKJPNEQ"	2014-10-31	0.229663061724506
"4480"	"SKPACEQ"	2014-10-31	1.01183608466136
"4481"	"SKSPEC3"	2014-10-31	0.0376840761891234
"4482"	"SKSPEC4"	2014-10-31	0.0360643813413506
"4483"	"SKSPEC5"	2014-10-31	0.037394002969938
"4484"	"SKSPEC6"	2014-10-31	0.0365048442766163
"4485"	"SKSPEC7"	2014-10-31	0.037616750812405
"4486"	"SKSPEC8"	2014-10-31	0.0406042310446392
"4487"	"SKSTRATBND"	2014-10-31	0.183269758649522
"4488"	"SKUKCONST"	2014-10-31	0.000503014819297421
"4489"	"SKUKOPP"	2014-10-31	0.00013882332988013
"4490"	"SKUSCAPGR"	2014-10-31	0.0783099378191667
"4491"	"SMFO"	2014-10-31	0.145885702275741
"4492"	"SMID"	2014-10-31	0.0010908432039537
"4493"	"TEWK"	2014-10-31	0.00913299700947436
"4494"	"U3"	2014-10-31	0
"4495"	"U7"	2014-10-31	1.00156377765551
"4496"	"UKALPBAROFF"	2014-10-31	0.000507992965539464
"4497"	"UKALPBARONSA"	2014-10-31	0.000471284053954238
"4498"	"UKALPBARONSB"	2014-10-31	0.000506176314670498
"4499"	"UKDEFOS"	2014-10-31	1.45203537147848e-08
"4500"	"UKMCO"	2014-10-31	2.30367300027139e-05
"9669"	"FOUNDUKALPHA"	2014-10-28	0.00176572894272792
"9670"	"FOUNDUKEQ"	2014-10-28	0.00142097319793207
"9671"	"FRGBF"	2014-10-28	0.525884612727162
"9672"	"GEAR"	2014-10-28	0.0154803521137787
"9673"	"GEFO"	2014-10-28	0.913362744578855
"9674"	"GSAF"	2014-10-28	0.0240834917620774
"9675"	"GSAFLF"	2014-10-28	0.0230045165076432
"9676"	"GSBO"	2014-10-28	0.515064604510441
"9677"	"HBOS"	2014-10-28	1.00292609611041
"9678"	"JSFO"	2014-10-28	0.997249372787242
"9679"	"MIHYB"	2014-10-28	0.0231937434975661
"9680"	"NAEO"	2014-10-28	0.994586779434433
"9681"	"OMDUS"	2014-10-28	0.000611028195970445
"9682"	"OMGB"	2014-10-28	0.110528724473418
"9683"	"OMTSY"	2014-10-28	0
"9684"	"OMUKALPHA"	2014-10-28	0.000697377030845436
"9685"	"SFSYPT"	2014-10-28	0.988034847880764
"9686"	"SKAN"	2014-10-28	2.42579111572456e-08
"9687"	"SKASIANEQ"	2014-10-28	0.978530823285047
"9688"	"SKEUREQ"	2014-10-28	0.471852430612419
"9689"	"SKGBLBND"	2014-10-28	0.450239937451335
"9690"	"SKGEN34"	2014-10-28	0.0523802295565056
"9691"	"SKGEN36"	2014-10-28	0.05997186616944
"9692"	"SKGEN46"	2014-10-28	0.050031485785821
"9693"	"SKGEQ"	2014-10-28	0.450604500348244
"9694"	"SKINTDIV"	2014-10-28	0.295708822841076
"9695"	"SKINTGRW"	2014-10-28	0.253770471707605
"9696"	"SKJPNEQ"	2014-10-28	0.222027383352477
"9697"	"SKPACEQ"	2014-10-28	1.09320886764985
